"Company","Address 1","Address 2","City","State","Zip","Phone","Fax","Contact","Contact Salutation","Contact First Name","Contact Last Name","Title","Email Address","Web Site","Membership","Membership Type","SIC code","Staff Size","Reach","Category","Abbreviation","Non-Profit Status","Publications","Conventions","Newsletter Name","Membership Directory","Year Founded","Description"
"League Of Women Voters Of California","801 12TH ST STE 220",,"SACRAMENTO","CA","95814-2930","(916) 442-7215","(916) 442-7362","MS. JILL NEWCOM","MS.","Jill","Newcom","Executive Director","lwvc@lwvc.org","www.ca.lwv.org","11500","Individuals","8651","2","State","Political - Women Voters","LOWVOC","Non-Profit","Pros & Cons In Depth www.SmartVoter.org","Conventions are held in odd years and Presidents Councils are held in even years.","California VOTER (Periodic)",,"1920","We are an organization of women and men who want to make a difference in the political future of our country. We are a diversified, nonpartisan, political group with a long-standing tradition of educating voters."
"Ohio Genealogical Society","713 S MAIN ST",,"MANSFIELD","OH","44907-1644","(419) 756-7294","(419) 756-8681","MR. THOMAS NEEL","MR.","Thomas","Neel","Library Director","tneel@ogs.org","www.ogs.org","6550","Individuals","8000","3","State","Medicine - Genealogy","OGS","Non-Profit","Ohio Genealogical Society Quarterly Ohio Records and Pioneer Families Ohio Civil War Genealogical Journal OGS Genealogy News","Annual conference Annual management seminar Annual workshop, Annual Fall Seminar.","OGS Genealogy News (6/year)",,"1959","The mission of The Ohio Genealogical Society is to meet the educational needs of its members and the general public through the acquisition, preservation and dissemination of genealogical and historical information."
"Ohio Library Council","2 EASTON OVAL STE 525",,"COLUMBUS","OH","43219-7008","(614) 416-2258","(614) 416-2270","MR. DOUGLAS EVANS","MR.","Douglas","Evans","Executive Director","olc@olc.org","www.olc.org","5000","Both","8231","11","State","Library","OLC","Non-Profit","Access Newsletter Ohio Libraries Journal Ballot Handbook Directory of Ohio Public Library Foundations Elderberries Frequently asked Legal Questions Friends Across Ohio Looking For Leaders Video Me? A Librarian Video Measuring Library Services: A","Annual Conference Trade Show Chapter Conferences","Access (12/year)",,,"OLC serves as an advocate for public libraries and to provide opportunities for education and growth for library trustees, library Friends, and library staff."
"Ohio Pork Producers Council","5930 SHARON WOODS BLVD STE 101",,"COLUMBUS","OH","43229-2666","(614) 882-5887","(614) 882-6077","MR. RICHARD ISLER","MR.","Richard","Isler","Executive Vp","oppc@ohiopork.org","www.ohiopork.org","25000",,"5400","4","State","Food - Producers","OPPC","Non-Profit","Quarterly National Pork Checkoff Report Magazine","The annual Professional Pork Producers Symposium, Educational Seminars","Porkline (12/year)",,"1968","The Ohio Pork Producers Council was established in 1968 when Ohio pork producers determined it was a necessity to promote their own product. When the organization began, about 800 pork producers dedicated themselves to this task. The Council now has approximately 2,500 members. As the organization has grown, so have the programs to promote pork, along with increased services for OPPC members."
"Ohio Township Association","5969 E LIVINGSTON AVE STE 110",,"COLUMBUS","OH","43232-2907","(614) 863-0045","(614) 863-9751","MR. MICHAEL COCHRAN","MR.","Michael","Cochran","Executive Director","ota@ohiotownships.org","www.ohiotownships.org","8000","Both","9190","5","State","Government - General","OTA","Non-Profit","Ohio Township News - bimonthly magazine","Annual Winter Conference in late January of each year held in Columbus, OH and annual Summer Conference held in early August whose location rotates around the state.","Grassroots Clippings (12/year)",,"1928","This site provides information on township government in Ohio and is intended as a resource to aid in effective township government"
"Professional Businesswomen Of California","PO BOX 6657",,"SAN MATEO","CA","94403-6657","(650) 548-2424","(650) 548-0840","MS. RUTH STERGIOU","MS.","Ruth","Stergiou","Executive Director","pbwc@regdesk.com","www.pbwc.org","5000",,"8699","5","State","Activism - Women","PBOC","Non-Profit","Highlights, quarterly. Newsletter.","The 15th Annual Conference of the Professional BusinessWomen of California, Moscone Center, San Francisco","Yes, 4/year",,"1989","The mission of the Professional BusinessWomen of California is to advance women in the workplace by providing tools, training, and inspiration."
"Special Olympics Florida","1105 CITRUS TOWER BLVD",,"CLERMONT","FL","34711-1905","(352) 243-9536","(352) 243-9568","MR. MONTY CASTEVENS","MR.","Monty","Castevens","President","sofl1@aol.com","www.sofl.org","19000",,"8399","15","State","Disabilities - Sports","SOF","Non-Profit","Special Edition, quarterly. Newsletter","annual Leadership Conference",,,"1972","Provides sports training and athletic competition to over 15,000 adults and children with mental retardation throughout Florida"
"Washington Public Employees Association","PO BOX 7159",,"OLYMPIA","WA","98507-7159","(360) 943-1121","(360) 357-7627","MS. LESLIE LIDDLE","MS.","Leslie","Liddle","Executive Director","leslie@wpea.org","www.WPEA.org","5000","Individuals","8699","15","State","Employees","WPEA","Non-Profit","Various unit newsletters","Monthly Executive Board Meetings, Monthly Membership Meetings, Annual Membership Meeting","WPEA Today (1/year)",,,"To empower Washington public employees through education, professional representation, member support and collective action to obtain equitable compensation and a quality work environment, and a quality standard of living. To set the highest ethical standards to guide public employees in working for the citizens of the State of Washington."
"Washington State Bar Association","2101 4TH AVE STE 400",,"SEATTLE","WA","98121-2343","(206) 443-9722","(206) 727-8319","MR. DAVID SAVAGE","MR.","David","Savage","President","questions@wsba.org","www.wsba.org","27600","Individuals","8100","120","State","Legal - Bar Associations","WSBA","Non-Profit","consumer-information pamphlets","Washington State Civil Rights Conference, LOMAP...On the Road, The Traveling Seminar, Northwest Gaming Law Conference","Washington State Bar News (12/year)",,"1933","The Washington State Bar Association is a private, nonprofit organization authorized by the Washington Supreme Court to license the state's 27,600 lawyers. The WSBA both regulates lawyers under the authority of the Court and serves its members as a professional association?all without public funding. As a regulatory agency, it administers the bar exam, provides record-keeping and licensing functions, and administers the lawyer discipline program. As a professional association, the WSBA provides continuing legal education for attorneys, in addition to numerous other educational and member-service activities."
"Washington State Council Of Fire Fighters","1069 ADAMS ST SE",,"OLYMPIA","WA","98501-1443","(360) 943-3030","(360) 943-2333","KELLY FOX",,"Kelly","Fox","President","wscff@wscff.org","www.wscff.org","7200",,"8699","5","State","Fire Fighters","WSCOFF","Non-Profit","The Washington Professional Fire Fighter (2/yr magazine) Fully Involved: A History of the Washington State Council of Fire Fighters (2004 - Book, hard & soft cover)","WSCFF Annual Convention, Annual Educational Seminar, Annual Legislative Conference","The Council Connection (12/year)",,"1939","The Washinton State Council of Fire Fighters is an organization devoted to the protection and support of professional fire fighters and paramedics in the State of Washington."
"Washington State Farm Bureau","PO BOX 2009",,"OLYMPIA","WA","98507-2009","(360) 357-9975","(360) 357-9939","MR. PATRICK BATTS","MR.","Patrick","Batts","Administrative Vice President","info@wsfb.com","www.wsfb.com","35000","Both","191","26","State","Trades - Farming","WSFB","Non-Profit","Neighbors - Quarterly Magazine","Washington Farm Bureau Annual Meeting - November Washington Farm Bureau Summer Conference - July","Washington Farm Bureau News (12/year)",,"1920","Washington Farm Bureau is a nonprofit advocacy organization representing family farmers and ranchers."
"Washington State Grange","PO BOX 1186",,"OLYMPIA","WA","98507-1186","(360) 943-9911","(360) 357-3548","MS. TERRY HUNT","MS.","Terry","Hunt","President","grange@wa-grange.org","www.wa-grange.org","50000","Individuals","8322","8","State","Service Organizations - Grange","WSG","Non-Profit","Washington State Grange News (monthly, except August-September combined issue, newspaper) Annual Legislative Policy Handbook Annual Program Handbook","Annual State Convention (late June) Lecturer's Conference (program directors only) Youth Conferenc","Grange News (12/year)",,,"The Grange, formally known as the Patrons of Husbandry, is a grassroots, non-partisan, non-sectarian, fraternal organization with its roots in agriculture. The Grange offers a strong, collective voice for rural Washingtonians and many opportunities for fun and community service."
